Stream,SYN,FIN,LEN,DPORT,PROTO,MIRAI
stream_0_date_04:36:41_09_17_2019.pcap,0.4,0,2.4,23,6,1
stream_0_date_04:37:34_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:39:29_09_22_2019.pcap,0.06,0,52.4,23,6,1
stream_0_date_04:40:57_09_19_2019.pcap,0.05,0,21.73,23,6,1
stream_0_date_04:41:31_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_04:41:58_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_04:46:59_09_23_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:47:00_09_19_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_04:47:37_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:48:01_09_19_2019.pcap,0,0.5,8.75,23,6,1
stream_0_date_04:50:02_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_04:50:39_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:52:03_09_19_2019.pcap,0.05,0,44.83,23,6,1
stream_0_date_04:52:35_09_22_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_04:52:41_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:53:04_09_19_2019.pcap,0.04,0,88.61,23,6,1
stream_0_date_04:54:05_09_19_2019.pcap,0,0.77,0,23,6,-1
stream_0_date_04:54:36_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_04:54:43_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:55:06_09_19_2019.pcap,0,0.69,0,23,6,-1
stream_0_date_04:56:07_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_04:56:31_09_18_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_04:57:08_09_19_2019.pcap,0,0.07,26.64,23,6,1
stream_0_date_04:58:09_09_19_2019.pcap,0.11,0,20.36,23,6,1
stream_0_date_04:59:10_09_19_2019.pcap,0,0.33,12.66,23,6,1
stream_0_date_05:04:47_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_05:05:48_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_05:12:55_09_20_2019.pcap,0.6,0,0,23,6,-1
stream_0_date_05:24:54_09_17_2019.pcap,0.06,0,68.31,23,6,1
stream_0_date_05:25:55_09_17_2019.pcap,0.06,0,63.9,23,6,1
stream_0_date_05:25:56_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_05:26:56_09_17_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_05:26:57_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_05:27:57_09_17_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_05:29:45_09_22_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_05:31:47_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_05:43:05_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_05:44:02_09_17_2019.pcap,0.06,0,63.9,23,6,1
stream_0_date_05:45:03_09_17_2019.pcap,0,0,189.3,23,6,1
stream_0_date_05:46:03_09_17_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_05:47:04_09_17_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_05:49:08_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_05:52:11_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_05:54:53_09_22_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_05:56:12_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_05:57:13_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:04:09_09_17_2019.pcap,0.22,0.11,9.77,23,6,1
stream_0_date_06:04:16_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:06:17_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:08:18_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:11:10_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:11:21_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:12:22_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:13:59_09_22_2019.pcap,0.06,0,52.4,23,6,1
stream_0_date_06:15:12_09_20_2019.pcap,0.16,0.16,3.91,23,6,1
stream_0_date_06:16:00_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_06:19:53_09_18_2019.pcap,0.75,0,0,23,6,-1
stream_0_date_06:20:24_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:21:25_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:22:26_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:24:28_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:26:29_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:27:30_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:35:33_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:36:34_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:37:35_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:38:36_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:39:37_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:42:38_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:46:40_09_19_2019.pcap,0.06,0,22.15,23,6,1
stream_0_date_06:47:41_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_06:52:41_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_06:53:42_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:00:45_09_19_2019.pcap,0.05,0,20.36,23,6,1
stream_0_date_07:01:46_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_07:03:47_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_07:04:13_09_22_2019.pcap,0.09,0.09,3.19,23,6,1
stream_0_date_07:07:48_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:08:27_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:08:49_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:10:50_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:11:51_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:12:52_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:13:53_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_07:14:17_09_22_2019.pcap,0.06,0,52.9,23,6,1
